weather_fact_sk,weather_sk,location_sk,date_sk,sunrise_date_sk,sunset_date_sk,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility
0,0,0,0,1,3,299.48,299.48,298.85,299.48,1008,73,1008,1002,10000
1,0,1,0,1,4,286.54,285.87,284.76,287.95,1008,74,1008,999,10000
2,1,2,0,2,5,299.09,300.27,299.09,299.09,1006,97,1006,1001,10000
