pollutants_sk,location_sk,weather_sk,date_sk,pollution_main_aqi,pollution_components_co,pollution_components_no,pollution_components_no2,pollution_components_o3,pollution_components_so2,pollution_components_pm2_5,pollution_components_pm10,pollution_components_nh3
125,2,3,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
126,2,0,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
127,2,0,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
128,2,5,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
129,2,5,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
130,0,0,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
131,0,1,0,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
132,1,1,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
133,1,0,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
134,1,4,0,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
135,2,2,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
136,2,3,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
137,2,0,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
138,2,5,0,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
139,0,0,6,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
140,0,1,6,3,115.22,0.1,0.51,112.97,3.18,14.12,35.69,0.61
141,1,1,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
142,1,1,6,2,126.33,0.07,1.78,71.72,1.27,1.63,2.24,1.93
143,1,0,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
144,1,0,6,2,126.33,0.07,1.78,71.72,1.27,1.63,2.24,1.93
145,1,4,6,2,129.68,0.21,2.37,65.23,1.6,1.72,2.47,2.23
146,1,4,6,2,126.33,0.07,1.78,71.72,1.27,1.63,2.24,1.93
147,2,2,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
148,2,3,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
149,2,0,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
150,2,5,6,4,396.68,0.4,19.58,57.73,12.41,61.45,65.23,6.07
151,0,0,5,3,110.72,0.08,0.46,111.68,2.28,11.85,28.47,0.51
152,0,1,5,3,110.72,0.08,0.46,111.68,2.28,11.85,28.47,0.51
153,2,2,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
154,2,3,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
155,2,0,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
156,2,5,5,4,426.85,0.14,22.47,33.79,12.3,62.15,67.15,7.25
157,0,0,7,3,108.3,0.08,0.47,111.42,1.97,11.11,26.26,0.46
158,0,1,7,3,108.3,0.08,0.47,111.42,1.97,11.11,26.26,0.46
159,1,1,7,2,125.35,0.04,1.83,72.07,1.25,1.66,2.28,2.01
160,1,0,7,2,125.35,0.04,1.83,72.07,1.25,1.66,2.28,2.01
161,1,4,7,2,125.35,0.04,1.83,72.07,1.25,1.66,2.28,2.01
162,2,2,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
163,2,3,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
164,2,0,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
165,2,5,7,4,457.36,0.28,23.97,20.51,12.96,62.2,68.33,7.82
166,0,0,8,3,105.31,0.07,0.76,119.87,2.55,10.99,27.51,0.33
167,0,1,8,3,105.31,0.07,0.76,119.87,2.55,10.99,27.51,0.33
168,1,1,8,2,125.75,0.04,1.25,86.86,1.3,2.61,3.37,2.22
169,1,0,8,2,125.75,0.04,1.25,86.86,1.3,2.61,3.37,2.22
170,1,4,8,2,125.75,0.04,1.25,86.86,1.3,2.61,3.37,2.22
171,2,2,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
172,2,3,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
173,2,0,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
174,2,5,8,5,510.05,2.26,19.97,5.02,8.6,85.99,96.16,9.52
175,0,0,9,3,132.96,0.78,3.39,84.64,11.74,28.88,75.42,2.28
176,0,1,9,3,132.96,0.78,3.39,84.64,11.74,28.88,75.42,2.28
177,1,1,9,2,120.27,0.26,3.21,62.62,2.08,1.56,3.25,5.18
178,1,0,9,2,120.27,0.26,3.21,62.62,2.08,1.56,3.25,5.18
179,1,4,9,2,120.27,0.26,3.21,62.62,2.08,1.56,3.25,5.18
180,2,2,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
181,2,3,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
182,2,0,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
183,2,5,9,4,288.83,0.5,13.4,91.31,13.74,52.28,64.73,3.0
184,0,0,15,2,99.91,0.0,1.87,90.7,2.06,7.05,25.66,3.66
185,0,0,15,2,103.69,0.0,2.15,90.79,2.69,7.86,28.16,4.12
186,0,1,15,2,99.91,0.0,1.87,90.7,2.06,7.05,25.66,3.66
187,0,1,15,2,103.69,0.0,2.15,90.79,2.69,7.86,28.16,4.12
188,1,1,15,1,160.57,0.0,10.95,47.9,4.78,6.01,9.07,10.09
189,1,1,15,1,170.48,0.0,12.0,42.62,5.82,6.97,10.58,11.26
190,1,0,15,1,160.57,0.0,10.95,47.9,4.78,6.01,9.07,10.09
191,1,0,15,1,170.48,0.0,12.0,42.62,5.82,6.97,10.58,11.26
192,1,4,15,1,160.57,0.0,10.95,47.9,4.78,6.01,9.07,10.09
193,1,4,15,1,170.48,0.0,12.0,42.62,5.82,6.97,10.58,11.26
194,2,2,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
195,2,2,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
196,2,3,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
197,2,3,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
198,2,0,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
199,2,0,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
200,2,5,15,5,401.23,2.81,19.49,2.22,4.71,105.72,129.83,9.23
201,2,5,15,5,400.64,3.44,18.77,1.57,4.98,109.46,133.77,10.75
